Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
2,2019,3,1,1.0434373299574977,0.9261427849438468,0,1,4,1.2896174998194174
2,2019,4,5,0.40633570468294455,-0.7199937610112929,0,1,3,1.6785837190380624
5,2017,2,4,-0.4114054217599658,0.3491284754852878,0,2,4,-0.8010759284807992
8,2024,4,6,-0.3144853817100202,0.5334188582275162,2,0,0,-1.4331460347110974
4,2018,2,4,0.8308385324285845,1.0555444719407436,1,0,4,1.5327213868310705
4,2017,2,5,1.6586537848981917,-0.757110551246321,3,0,1,-0.5579720414691461
4,2016,0,6,-0.5986452123940902,-0.2532708209007407,1,1,4,-0.12038504484817057
3,2018,5,2,0.303510142479418,1.3981124386182908,3,0,1,1.4354798320264093
5,2016,2,0,-1.1676596410744162,0.6677050596270896,3,0,4,0.5116850613821274
8,2023,0,3,0.6477673456675762,0.6252001256795044,0,1,3,1.0465136128077643
2,2019,3,6,1.3262076260171956,-0.0379761899584721,3,3,4,-0.36348893185982367
2,2016,5,3,-0.40584728326247776,1.4352878706222778,0,1,0,-0.4607304866644849
5,2019,4,1,-0.6924387995391988,0.27085551198872426,1,3,3,0.02547728735882129
3,2023,0,3,0.27363514805542044,0.32809332800822444,2,1,0,-0.07176426744583995
3,2024,0,4,-0.08625431965692246,1.4404276491957155,3,0,2,1.338238277221748
0,2022,3,0,0.47998103977465967,-1.3242523464248939,2,3,2,-0.02314349004350933
7,2017,2,3,-1.301054965014126,1.1917175584944584,0,1,0,1.48410060942874
5,2015,0,4,1.4814881202907644,1.0369032884435232,1,0,2,0.949272058003103
8,2019,1,6,-1.2673587503731056,0.25443236716447065,1,0,3,-0.4121097092621543
5,2016,0,4,-0.4878298261004246,-0.8378050748492961,2,0,0,-1.481766812113428
1,2015,4,5,-0.03275723661860124,1.4332319591929026,0,2,1,0.317201951772805
3,2023,4,1,-1.1384794139626044,-0.8383121536749978,1,0,4,-1.238662925101775
5,2017,0,2,0.9107367733299733,-0.8916278702059081,2,1,3,-0.31486815445749305
6,2022,3,6,-1.0446858268174957,-1.0987954418736667,2,2,1,-0.2176265996528318
1,2023,0,6,0.04679362062669484,0.6703197926194828,0,0,4,-0.31486815445749305
2,2021,3,5,0.01969769545144119,0.4273186506021449,1,3,0,0.7547889483937805
6,2022,1,1,0.08847965935785411,0.22701216590255258,2,1,4,0.8034097257961111
6,2022,4,0,-0.8449402245640235,1.493532945261539,1,1,2,-0.6065928188714768
3,2020,1,4,1.279310832444641,0.32795534737538046,3,0,1,-1.3359044799064361
0,2015,0,2,1.1188195833296777,1.3802232495700701,0,3,2,1.1923759450147562
8,2022,5,1,0.5470260854006075,0.6008775896249335,0,0,0,-1.238662925101775
3,2020,1,6,-1.115552092660467,-0.889230456710244,0,3,0,-0.12038504484817057
5,2015,5,4,-0.2606409150156058,-1.4468274416118352,3,1,2,1.1923759450147562
6,2022,3,0,1.6666436089883307,1.613631288088931,2,3,1,-0.7524551510784686
1,2023,3,3,-1.249989567568456,-1.348440351362442,2,2,4,-0.4607304866644849
1,2020,3,0,-1.1374372629943255,0.8101390173960995,0,3,2,-0.26624737705516244
2,2020,2,1,-1.0658762298391686,0.7523527283610446,2,3,3,1.6299629416357317
6,2021,5,5,1.1125666775200034,-1.001436307338961,1,1,2,-1.1900421476994443
9,2022,0,5,-0.6240042192888787,-0.9291965470135002,1,2,0,1.2409967224170868
1,2016,0,1,1.6148834442304747,-1.2551826911390231,2,1,4,1.6785837190380624
7,2015,0,6,1.5943878085209877,-0.9187031198857162,3,3,0,-1.6276291443204198
5,2021,5,4,1.653443030056797,1.111750882729735,2,3,4,0.9978928354054336
8,2019,2,5,-0.37249845227755024,0.8727615276123356,2,1,2,1.5813421642334011
9,2017,0,4,0.8207644064018879,-0.3503884893279695,0,3,4,1.338238277221748
0,2020,0,0,1.4748878308249975,1.5115980596166356,1,2,1,-0.8496967058831298
3,2022,1,3,-1.0478122797223328,1.0011249103470816,3,2,0,-0.02314349004350933
0,2016,5,2,-0.8046437204572363,-0.08068809485532324,0,1,1,1.3868590546240787
5,2016,0,1,-1.0241901911080091,0.33807967631030683,0,1,4,-0.36348893185982367
8,2018,2,5,-1.2795171783363606,-0.1695614204701248,0,3,3,0.17133961956581314
6,2017,3,6,0.8805143952498831,-0.4183887947092994,0,3,4,-0.26624737705516244
9,2023,0,5,0.3194897906596958,-1.3490095214729234,0,3,4,1.6299629416357317
0,2019,1,2,-0.9995259515254065,1.6548254060244985,1,1,1,-0.9469382606877911
8,2015,3,4,1.21886607628446,-1.6814842048579342,0,2,0,-0.31486815445749305
3,2018,3,3,0.8551553883550942,0.2642979824128146,1,0,2,0.7061681709914499
5,2019,2,1,-1.3788689039789572,1.016882298617863,2,3,0,-0.6552135962738074
5,2020,0,0,1.2428355485548765,1.3590087272703095,2,1,0,-1.2872837025041055
8,2021,1,3,0.576901079824605,0.6697851176672125,3,2,1,0.9978928354054336
5,2018,0,3,0.9010100309593698,-0.6917042817624577,0,1,3,0.949272058003103
1,2015,3,0,-0.24639818511579317,-1.0799024437215061,0,0,4,1.3868590546240787
0,2024,3,1,1.487741026100438,-1.4194727811505181,3,1,4,-1.092800592894783
5,2019,3,3,-0.5173574368683292,-1.6004585277361334,2,3,4,-0.6065928188714768
2,2015,3,2,-0.2696728900740239,-0.6695859863175693,2,3,3,1.3868590546240787
5,2024,0,1,0.7947106321949132,-0.09991569604213056,2,0,3,0.7547889483937805
8,2018,1,5,0.7881103427291465,-0.347104550266283,3,2,1,-0.2176265996528318
2,2024,1,1,0.7592774992734275,-1.283075476068432,0,3,3,0.9006512806007724
8,2016,0,0,1.2918166440639893,-0.5805815791015659,2,0,3,-1.238662925101775
0,2022,1,3,0.5789853817611631,0.21301748021635286,3,2,2,1.2896174998194174
7,2017,2,1,1.1441785902244663,-0.6590408164524688,2,2,1,-0.9955590380901217
3,2016,0,0,-0.7584416941968678,1.6948156429385022,3,3,4,-0.4121097092621543
2,2021,3,3,0.1579563905764531,1.2656820767304688,1,1,3,-0.36348893185982367
1,2015,0,4,-0.24257696489877023,1.5038918412723,3,2,0,0.21996039696814376
9,2015,4,6,-1.033916933478613,-0.715688765266561,2,0,3,1.4354798320264093
8,2019,3,4,0.9621495544317367,-1.643222175370301,1,1,1,1.2896174998194174
1,2022,3,6,-0.7459358825775201,-0.16523572763046632,2,3,2,-1.2872837025041055
4,2018,4,0,1.2876480401908732,1.4775789345889547,2,1,4,-0.5579720414691461
0,2023,3,6,-0.8977425402901589,-0.9768067643763123,2,3,0,0.949272058003103
3,2017,3,0,-1.1329212754651168,-1.683705693046722,0,1,2,-1.1900421476994443
9,2022,4,1,-1.0241901911080091,0.9764470741629374,2,2,1,-1.3359044799064361
7,2022,5,0,0.3389432754009036,0.5444469603075706,3,0,3,0.17133961956581314
1,2018,1,1,-1.5237278885697358,-0.7939927744055143,0,3,2,-0.8010759284807992
3,2024,3,2,-1.5525607320254546,0.013676859946668339,0,1,3,1.4354798320264093
1,2021,0,4,0.6866743151499918,0.8126123202398277,3,2,2,1.6299629416357317
0,2024,1,3,0.40251448446592164,1.6034034736793716,0,0,0,-1.5303875895157586
4,2016,2,3,1.379357325399424,0.9479609725122997,2,0,0,0.8520305031984418
6,2019,1,0,-0.21964964359663244,0.34661377845170643,1,2,2,-0.4607304866644849
3,2023,1,2,0.16281976176175508,-0.792485335991694,1,3,2,1.4354798320264093
6,2019,2,0,-0.31865398558313607,0.4843563947040213,2,3,3,-0.02314349004350933
8,2015,0,6,-0.6104562567012519,-1.197003157300363,2,1,1,1.5327213868310705
1,2022,0,5,-1.2274096299224113,-1.1992246454891509,2,0,0,1.5813421642334011
5,2020,5,1,0.4171045980218275,0.1585806710435853,2,2,2,-1.5790083669180892
0,2017,5,3,0.6397775215774372,0.4462426943966955,0,1,3,1.4354798320264093
8,2023,0,0,1.0687963368522864,0.1476767515330905,2,2,0,-1.6276291443204198
8,2024,0,3,0.2715508461188626,-0.058607744084466826,0,2,1,0.21996039696814376
3,2023,2,5,1.3255128587050098,-0.26774153977025217,0,1,1,0.2685811743704744
0,2023,1,6,-1.7015883204893496,1.55303364365968,0,1,0,0.9006512806007724
8,2020,4,0,-0.043873513613577095,-1.297328875441214,2,2,3,0.8034097257961111
4,2024,3,3,1.1823907923946957,-1.087474130948819,2,0,3,-1.724870699125081
3,2021,0,3,1.3942948226114225,0.3402701188567049,2,1,0,-1.0441798154924524
8,2021,0,1,1.034057971242987,-0.7868039834343434,2,0,2,-0.02314349004350933
6,2023,1,1,-0.9595768310747119,1.6233347760936832,1,1,3,0.6089266161867887
5,2018,4,5,-0.9276175347141565,-0.06165711607031858,0,1,1,-1.238662925101775
6,2021,4,4,-0.5232629590219102,1.603448317385046,0,2,3,-0.5579720414691461
0,2022,1,0,0.8433443440479322,-1.2179727639768254,1,3,2,-0.8983174832854605
6,2022,5,4,0.5616161989565133,0.8446514231861977,3,0,0,-0.31486815445749305
